programa sprograma
início sinício
fim sfim
procedimento sprocedimento
funcao sfuncao
se sse
entao sentao
senao ssenao
enquanto senquanto
faca sfaca
:= satribuição
escreva sescreva
leia sleia
var svar
inteiro sinteiro
booleano sbooleano
identificador sidentificador
número snúmero
. sponto
; sponto_virgula
, svírgula
( sabre_parênteses
) sfecha_parênteses
> smaior
>= smaiorig
= sig
< smenor
<= smenorig
!= sdif
+ smais
- smenos
* smult
div sdiv
e se
ou sou
nao snao
: sdoispontos
verdadeiro sverdadeiro
falso sfalso
